CustomerID,Age,Gender,Location,SubscriptionDurationMonths,MonthlyCharges,ContractType,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,TotalCharges,Churn
CUST-0021,57,Male,Phoenix,58,76.87,Month-to-month,Bank transfer (automatic),No,No,No internet service,Yes,4483.11,0
CUST-0022,74,Female,Phoenix,56,44.45,Two year,Electronic check,No internet service,No,Yes,Yes,2419.54,0
CUST-0023,20,Male,Chicago,15,95.58,Month-to-month,Credit card (automatic),No internet service,No internet service,No internet service,Yes,1450.84,0
CUST-0024,54,Female,Phoenix,37,70.91,One year,Bank transfer (automatic),Yes,Yes,No,Yes,2625.28,0
CUST-0025,34,Female,Phoenix,9,59.44,Month-to-month,Bank transfer (automatic),Yes,Yes,No,Yes,526.24,0
CUST-0026,65,Male,Chicago,10,56.29,Month-to-month,Bank transfer (automatic),Yes,No,Yes,No internet service,548.23,0
CUST-0027,58,Female,Phoenix,31,70.07,Month-to-month,Electronic check,No internet service,No internet service,No,Yes,2227.54,0
CUST-0028,70,Female,Houston,45,25.14,Month-to-month,Mailed check,No,No internet service,Yes,Yes,1078.48,0
CUST-0029,47,Male,New York,72,93.55,One year,Bank transfer (automatic),No,Yes,Yes,No,6720.96,0
CUST-0030,30,Female,Chicago,3,53.31,Month-to-month,Bank transfer (automatic),No internet service,Yes,Yes,No internet service,226.06,0
CUST-0031,75,Female,Houston,56,86.77,One year,Electronic check,No internet service,No,No internet service,Yes,4835.71,0
CUST-0032,51,Female,Chicago,49,32.24,One year,Mailed check,No internet service,No,Yes,No,1505.54,0
CUST-0033,45,Male,Chicago,62,106.77,One year,Mailed check,No internet service,No,No internet service,No,6538.31,1
CUST-0034,41,Male,Chicago,40,113.1,Month-to-month,Credit card (automatic),No internet service,No internet service,Yes,Yes,4580.13,0
CUST-0035,20,Female,Chicago,18,114.75,Month-to-month,Mailed check,Yes,No,No,Yes,2091.42,0
CUST-0036,44,Male,Houston,63,35.12,Month-to-month,Credit card (automatic),Yes,Yes,No internet service,Yes,2119.22,0
CUST-0037,70,Male,Chicago,44,115.49,Month-to-month,Electronic check,No,Yes,Yes,No internet service,5008.9,0
CUST-0038,66,Male,New York,68,78.48,Two year,Mailed check,No internet service,No,Yes,Yes,5348.58,0
CUST-0039,64,Female,Los Angeles,26,102.57,Month-to-month,Credit card (automatic),No,No,No,No,2625.44,0
CUST-0040,32,Female,Phoenix,6,102.36,Month-to-month,Credit card (automatic),No,Yes,Yes,No,632.83,0
CUST-0041,38,Male,Phoenix,7,102.13,Month-to-month,Credit card (automatic),No internet service,No,No,Yes,698.3,0
CUST-0042,32,Female,New York,57,85.17,Two year,Mailed check,No,Yes,No internet service,No internet service,4910.15,0
CUST-0043,70,Male,Houston,56,47.64,Month-to-month,Bank transfer (automatic),No internet service,No internet service,No,No internet service,2585.71,0
CUST-0044,44,Female,New York,48,62.47,Month-to-month,Credit card (automatic),No,No internet service,No,Yes,3026.21,0
CUST-0045,60,Male,Los Angeles,4,112.12,Month-to-month,Mailed check,Yes,No internet service,No,Yes,467.24,0
CUST-0046,36,Female,Chicago,20,105.81,Month-to-month,Credit card (automatic),Yes,No internet service,No,Yes,2062.48,0
CUST-0047,19,Male,Houston,64,99.62,One year,Bank transfer (automatic),Yes,Yes,No,Yes,6291.48,0
CUST-0048,49,Male,Chicago,36,45.0,One year,Mailed check,No internet service,No,Yes,No internet service,1749.85,0
CUST-0049,58,Female,Los Angeles,64,104.94,Month-to-month,Mailed check,No internet service,No internet service,Yes,No internet service,6774.39,0
CUST-0050,48,Male,Chicago,29,71.43,Month-to-month,Electronic check,Yes,Yes,No internet service,Yes,2110.72,1
CUST-0051,24,Male,Houston,64,58.91,Month-to-month,Credit card (automatic),No,Yes,Yes,Yes,3728.34,1
CUST-0052,65,Male,New York,17,61.71,One year,Mailed check,No,Yes,Yes,Yes,1029.73,0
CUST-0053,37,Female,Chicago,26,55.05,Month-to-month,Credit card (automatic),No,No,No,Yes,1493.81,0
CUST-0054,21,Female,Houston,6,77.59,Two year,Bank transfer (automatic),Yes,No,Yes,Yes,434.31,1
CUST-0055,49,Male,Houston,71,71.73,Month-to-month,Mailed check,No,Yes,Yes,No internet service,5086.61,1
CUST-0056,47,Male,Phoenix,17,46.59,One year,Bank transfer (automatic),No,No,No,No,731.22,0
CUST-0057,61,Male,Los Angeles,13,67.6,One year,Bank transfer (automatic),No internet service,Yes,No,No,897.18,1
CUST-0058,26,Female,New York,34,77.77,Month-to-month,Electronic check,No,No,Yes,No,2631.57,0
CUST-0059,64,Male,Los Angeles,14,66.78,Month-to-month,Electronic check,No,No internet service,No internet service,Yes,1004.39,1
CUST-0060,56,Male,Houston,31,63.83,Month-to-month,Credit card (automatic),No internet service,No internet service,Yes,No internet service,1948.14,0
CUST-0061,25,Female,New York,14,22.84,One year,Bank transfer (automatic),Yes,No,Yes,Yes,312.74,0
CUST-0062,26,Male,Phoenix,62,47.87,One year,Credit card (automatic),No,No internet service,No internet service,Yes,3037.54,0
CUST-0063,55,Male,Phoenix,32,112.94,Month-to-month,Mailed check,Yes,No internet service,No internet service,Yes,3663.5,1
CUST-0064,50,Female,Houston,34,77.87,Month-to-month,Electronic check,Yes,No internet service,Yes,No,2649.67,0
CUST-0065,73,Male,Houston,64,66.7,Month-to-month,Bank transfer (automatic),No,No internet service,No internet service,No,4255.21,1
CUST-0066,69,Male,Los Angeles,40,46.68,Month-to-month,Credit card (automatic),Yes,Yes,Yes,No,1796.03,0
CUST-0067,63,Female,New York,66,98.79,Month-to-month,Electronic check,Yes,No,No,No,6571.25,0
CUST-0068,47,Female,Phoenix,56,21.09,Month-to-month,Credit card (automatic),No,No,No internet service,Yes,1118.77,0
CUST-0069,68,Male,Los Angeles,15,107.09,Month-to-month,Credit card (automatic),No internet service,Yes,No,Yes,1642.28,1
CUST-0070,52,Female,Houston,69,119.66,One year,Electronic check,Yes,Yes,Yes,Yes,8290.16,0
CUST-0071,76,Female,New York,40,26.95,Two year,Mailed check,No,Yes,No,No,1116.54,0
CUST-0072,39,Female,Houston,68,80.29,Two year,Mailed check,Yes,No,No internet service,No internet service,5469.59,1
CUST-0073,51,Male,Los Angeles,12,59.65,Two year,Credit card (automatic),Yes,No internet service,Yes,No,853.77,0
CUST-0074,29,Female,Houston,72,41.51,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,3055.23,0
CUST-0075,75,Female,New York,61,82.95,Two year,Electronic check,No,No,No,Yes,5017.77,0
CUST-0076,50,Male,Los Angeles,13,79.02,Month-to-month,Electronic check,No internet service,No,No,Yes,1080.92,0
CUST-0077,68,Female,Chicago,39,64.76,One year,Credit card (automatic),Yes,Yes,No internet service,No,2382.77,0
CUST-0078,53,Female,Houston,27,92.53,Month-to-month,Mailed check,Yes,No internet service,No internet service,No,2390.36,0
CUST-0079,32,Male,New York,36,118.83,Month-to-month,Bank transfer (automatic),No,Yes,Yes,No internet service,4272.57,1
CUST-0080,54,Male,Phoenix,47,38.58,Month-to-month,Bank transfer (automatic),No internet service,No,No,No,1905.12,0
CUST-0081,76,Female,New York,1,108.96,One year,Bank transfer (automatic),No,No internet service,Yes,No,107.43,0
CUST-0082,66,Male,New York,51,54.79,Month-to-month,Mailed check,Yes,Yes,Yes,Yes,2789.45,0
CUST-0083,59,Male,New York,15,44.61,Two year,Credit card (automatic),Yes,No internet service,Yes,No internet service,735.37,0
CUST-0084,50,Male,Phoenix,34,25.62,Month-to-month,Credit card (automatic),No internet service,No,Yes,No internet service,911.51,0
CUST-0085,62,Male,Los Angeles,20,53.13,One year,Credit card (automatic),No,No,No internet service,No internet service,1056.73,0
CUST-0086,34,Male,Los Angeles,3,92.42,Two year,Bank transfer (automatic),No internet service,No,Yes,Yes,247.07,0
CUST-0087,32,Male,Chicago,21,36.33,Month-to-month,Bank transfer (automatic),Yes,No internet service,Yes,No,803.05,1
CUST-0088,47,Male,Houston,63,28.69,One year,Credit card (automatic),No,No internet service,No,No internet service,1802.93,0
CUST-0089,30,Male,Phoenix,27,103.81,Month-to-month,Mailed check,No,No internet service,No,Yes,2829.93,0
CUST-0090,72,Male,Los Angeles,16,102.78,Month-to-month,Electronic check,No,No,No,Yes,1572.88,0
CUST-0091,68,Female,Los Angeles,36,60.76,Month-to-month,Electronic check,Yes,No,Yes,No internet service,2260.42,0
CUST-0092,23,Male,New York,17,89.17,Month-to-month,Mailed check,Yes,No internet service,No internet service,Yes,1490.65,1
CUST-0093,61,Female,Phoenix,50,64.62,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,3131.07,0
CUST-0094,39,Female,New York,68,86.55,Two year,Bank transfer (automatic),No,No,Yes,Yes,5900.63,0
CUST-0095,67,Female,Houston,9,115.78,Month-to-month,Mailed check,Yes,No,Yes,No internet service,1038.11,1
CUST-0096,36,Female,Phoenix,22,33.17,Month-to-month,Bank transfer (automatic),No,Yes,No,No internet service,627.93,0
CUST-0097,54,Male,Los Angeles,54,83.34,Month-to-month,Bank transfer (automatic),No internet service,Yes,No internet service,No internet service,4460.54,0
CUST-0098,67,Male,Houston,2,106.16,Two year,Bank transfer (automatic),Yes,Yes,Yes,Yes,194.74,0
CUST-0099,65,Female,New York,39,114.74,Two year,Mailed check,No internet service,Yes,No,No,4561.66,0
CUST-0100,60,Female,Phoenix,59,69.12,Month-to-month,Mailed check,No,No,No,Yes,4134.9,0
CUST-0101,57,Male,Phoenix,52,60.12,Two year,Mailed check,Yes,No,No internet service,Yes,3039.61,0
CUST-0102,21,Female,Chicago,40,117.34,Two year,Mailed check,Yes,No,No internet service,Yes,4671.34,0
CUST-0103,33,Female,New York,13,45.72,One year,Credit card (automatic),No internet service,No,No,No,607.06,0
CUST-0104,26,Female,Phoenix,45,113.88,Month-to-month,Electronic check,No internet service,No,Yes,Yes,5104.54,1
CUST-0105,53,Female,Phoenix,20,93.19,Month-to-month,Bank transfer (automatic),Yes,No,Yes,Yes,1861.3,0
CUST-0106,25,Male,Los Angeles,20,118.01,One year,Bank transfer (automatic),No internet service,Yes,Yes,No internet service,2230.07,0
CUST-0107,41,Female,New York,62,72.23,Month-to-month,Electronic check,Yes,Yes,No internet service,No,4325.01,0
CUST-0108,21,Male,Houston,53,39.24,Month-to-month,Mailed check,No,Yes,Yes,Yes,2086.69,0
CUST-0109,18,Male,Los Angeles,61,87.18,Month-to-month,Credit card (automatic),No internet service,No,No,No internet service,5377.3,0
CUST-0110,20,Male,Houston,12,76.34,Month-to-month,Mailed check,No internet service,No,Yes,Yes,892.45,0
CUST-0111,38,Female,New York,53,111.98,Two year,Mailed check,Yes,Yes,No internet service,No,5950.57,1
CUST-0112,51,Female,Houston,2,69.39,Two year,Bank transfer (automatic),No,No,No,Yes,208.03,0
CUST-0113,41,Female,New York,70,56.84,Two year,Electronic check,Yes,No internet service,Yes,Yes,3962.08,0
CUST-0114,34,Male,Phoenix,40,117.4,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,4676.28,0
CUST-0115,49,Female,Phoenix,49,25.05,Month-to-month,Credit card (automatic),Yes,No,No,No,1158.39,1
CUST-0116,43,Female,Phoenix,18,27.05,Month-to-month,Credit card (automatic),Yes,No internet service,No,Yes,406.97,1
CUST-0117,70,Male,Los Angeles,9,29.25,Month-to-month,Mailed check,No internet service,Yes,No,Yes,272.22,0
CUST-0118,40,Male,Chicago,68,25.24,Month-to-month,Bank transfer (automatic),No internet service,No,Yes,Yes,1670.28,0
CUST-0119,32,Female,Houston,8,113.41,Month-to-month,Credit card (automatic),No,No,No,No,908.1,0
CUST-0120,41,Female,New York,5,74.01,Month-to-month,Credit card (automatic),Yes,Yes,No internet service,No internet service,405.89,0
CUST-0121,51,Female,Los Angeles,61,73.76,Month-to-month,Electronic check,No,No,No,No internet service,4466.18,0
CUST-0122,22,Male,Los Angeles,28,32.5,Two year,Mailed check,No internet service,No,Yes,No internet service,852.65,0
CUST-0123,74,Female,Chicago,2,75.87,Two year,Bank transfer (automatic),No internet service,Yes,No internet service,No,163.95,0
CUST-0124,54,Male,Houston,67,76.07,Two year,Bank transfer (automatic),No,No,No,No internet service,5042.55,0
CUST-0125,51,Female,New York,6,32.68,Month-to-month,Electronic check,No,Yes,No internet service,No,135.73,0
CUST-0126,43,Male,Houston,65,77.45,Month-to-month,Mailed check,No,Yes,No internet service,No,5035.77,0
CUST-0127,64,Female,Phoenix,32,84.94,Month-to-month,Electronic check,No,Yes,No internet service,No internet service,2667.87,1
CUST-0128,72,Female,Chicago,9,106.11,Month-to-month,Mailed check,No internet service,No,Yes,No,903.14,1
CUST-0129,26,Male,Houston,45,110.46,One year,Electronic check,No,Yes,Yes,No internet service,4957.69,0
CUST-0130,38,Female,Houston,54,105.01,One year,Mailed check,No internet service,Yes,No,Yes,5605.12,0
CUST-0131,23,Male,Houston,56,82.94,One year,Electronic check,No internet service,No internet service,No,Yes,4670.66,0
CUST-0132,58,Female,Chicago,60,59.38,Month-to-month,Credit card (automatic),No,No internet service,Yes,No internet service,3539.8,0
CUST-0133,71,Female,New York,54,109.93,One year,Bank transfer (automatic),Yes,No,No,No internet service,5913.28,0
CUST-0134,60,Female,Chicago,62,118.09,Month-to-month,Mailed check,Yes,No internet service,No internet service,No,7281.43,0
CUST-0135,37,Female,Houston,30,119.32,Two year,Mailed check,No,No,No,Yes,3642.16,0
CUST-0136,32,Male,Phoenix,2,58.45,Month-to-month,Bank transfer (automatic),No internet service,No internet service,No,Yes,171.69,0
CUST-0137,52,Female,Phoenix,63,79.75,Month-to-month,Mailed check,No internet service,No,Yes,Yes,5004.58,0
CUST-0138,43,Female,New York,12,81.92,One year,Bank transfer (automatic),Yes,Yes,Yes,Yes,1023.85,0
CUST-0139,22,Male,New York,38,64.41,Month-to-month,Mailed check,Yes,No,Yes,Yes,2459.13,0
CUST-0140,30,Male,Houston,4,70.12,One year,Credit card (automatic),No internet service,No,No internet service,Yes,199.02,0
CUST-0141,29,Male,Los Angeles,46,74.84,One year,Mailed check,No internet service,Yes,Yes,Yes,3422.32,0
CUST-0142,27,Male,Chicago,70,113.11,Month-to-month,Bank transfer (automatic),Yes,No,Yes,No,7913.63,0
CUST-0143,72,Female,Los Angeles,43,117.74,One year,Credit card (automatic),No internet service,Yes,No,No internet service,5038.37,0
CUST-0144,49,Male,Los Angeles,22,60.74,Month-to-month,Credit card (automatic),No internet service,No,Yes,No internet service,1306.75,0
CUST-0145,64,Male,Los Angeles,41,119.45,One year,Electronic check,No,Yes,No internet service,Yes,4850.5,1
CUST-0146,33,Female,New York,47,113.68,Two year,Mailed check,Yes,No,Yes,Yes,5327.31,0
CUST-0147,58,Male,Los Angeles,16,104.37,Month-to-month,Credit card (automatic),Yes,Yes,No,No,1617.49,0
CUST-0148,28,Female,Houston,12,98.82,Two year,Credit card (automatic),No internet service,Yes,No internet service,Yes,1202.23,0
CUST-0149,70,Female,Houston,37,51.72,Month-to-month,Bank transfer (automatic),Yes,No,No internet service,No,1872.11,0
CUST-0150,57,Female,New York,42,100.34,One year,Electronic check,Yes,No,No,Yes,4223.08,0
CUST-0151,22,Female,Chicago,55,84.96,Month-to-month,Bank transfer (automatic),No,No internet service,No internet service,No internet service,4683.73,0
CUST-0152,23,Male,Houston,9,28.97,One year,Electronic check,Yes,No,Yes,Yes,285.77,0
CUST-0153,23,Female,Los Angeles,29,38.46,Month-to-month,Bank transfer (automatic),No,No internet service,No internet service,No internet service,1110.59,0
CUST-0154,28,Male,New York,31,53.97,Month-to-month,Credit card (automatic),No internet service,No,No internet service,Yes,1746.01,0
CUST-0155,63,Female,Chicago,21,64.21,Month-to-month,Mailed check,No internet service,Yes,Yes,No,1298.77,0
CUST-0156,18,Female,Phoenix,7,95.56,One year,Mailed check,No internet service,No internet service,No,Yes,698.15,0
CUST-0157,28,Male,Phoenix,71,67.15,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,4824.95,1
CUST-0158,57,Male,New York,71,75.21,Two year,Bank transfer (automatic),No,No internet service,No,Yes,5379.94,0
CUST-0159,67,Male,Los Angeles,16,48.51,Month-to-month,Bank transfer (automatic),No,Yes,Yes,Yes,743.6,0
CUST-0160,32,Male,Houston,63,71.78,One year,Electronic check,No,Yes,No,No internet service,4453.69,0
CUST-0161,27,Female,Los Angeles,44,85.04,Month-to-month,Credit card (automatic),Yes,Yes,No internet service,Yes,3716.01,0
CUST-0162,42,Male,Chicago,17,50.49,Month-to-month,Mailed check,No,No internet service,No,No internet service,837.12,0
CUST-0163,23,Male,Chicago,9,61.87,Two year,Electronic check,No internet service,No,No internet service,No internet service,566.57,0
CUST-0164,27,Male,Chicago,25,44.34,One year,Bank transfer (automatic),No,No,No,No,1152.49,0
CUST-0165,69,Female,Houston,70,95.54,One year,Credit card (automatic),No internet service,Yes,No internet service,No,6734.0,0
CUST-0166,37,Female,Phoenix,61,78.29,One year,Mailed check,No internet service,Yes,No internet service,No internet service,4774.5,0
CUST-0167,20,Male,New York,32,59.94,Month-to-month,Mailed check,No,Yes,Yes,No internet service,1988.87,0
CUST-0168,39,Female,New York,16,104.32,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,1636.55,1
CUST-0169,56,Female,Houston,19,118.08,Two year,Bank transfer (automatic),Yes,No,No,No internet service,2148.78,0
CUST-0170,44,Female,Chicago,5,108.74,Month-to-month,Bank transfer (automatic),No,No,No,Yes,543.95,0
CUST-0171,46,Male,Houston,6,75.14,Month-to-month,Bank transfer (automatic),No,No,No internet service,Yes,344.82,1
CUST-0172,43,Male,New York,19,59.24,One year,Bank transfer (automatic),Yes,Yes,No internet service,Yes,1104.42,0
CUST-0173,58,Female,New York,2,103.0,Two year,Bank transfer (automatic),No internet service,No,Yes,Yes,230.05,1
CUST-0174,50,Male,Chicago,24,47.84,Two year,Credit card (automatic),Yes,Yes,Yes,No,1134.26,0
CUST-0175,74,Male,Chicago,31,82.72,Month-to-month,Credit card (automatic),No internet service,Yes,No,Yes,2541.82,0
CUST-0176,40,Male,Phoenix,62,99.47,Month-to-month,Mailed check,No,No,Yes,No internet service,6171.97,0
CUST-0177,70,Female,Houston,65,22.37,Month-to-month,Credit card (automatic),No internet service,No internet service,Yes,Yes,1514.51,0
CUST-0178,56,Male,Phoenix,7,79.43,Month-to-month,Bank transfer (automatic),Yes,No internet service,No,No,614.03,1
CUST-0179,48,Female,Phoenix,27,53.87,Two year,Credit card (automatic),No,No,No,No,1380.58,0
CUST-0180,63,Male,Phoenix,6,88.85,Month-to-month,Credit card (automatic),No internet service,No,No internet service,No internet service,463.88,0
CUST-0181,20,Female,New York,49,45.81,Two year,Bank transfer (automatic),Yes,No internet service,No,Yes,2361.35,0
CUST-0182,70,Male,Los Angeles,72,29.86,Month-to-month,Credit card (automatic),Yes,Yes,No internet service,No,2134.02,0
CUST-0183,43,Male,Houston,35,28.38,One year,Bank transfer (automatic),Yes,No internet service,Yes,No,974.88,0
CUST-0184,54,Male,Houston,72,45.41,Month-to-month,Credit card (automatic),Yes,No internet service,No internet service,No,3139.94,0
CUST-0185,66,Male,Chicago,32,34.17,Month-to-month,Bank transfer (automatic),No internet service,No,Yes,No,1073.93,0
CUST-0186,32,Female,Chicago,71,66.22,Month-to-month,Mailed check,No,No,No,No,4758.21,0
CUST-0187,41,Male,Phoenix,13,33.72,One year,Bank transfer (automatic),No,No,Yes,No,435.61,1
CUST-0188,38,Male,Los Angeles,44,115.32,Two year,Mailed check,No internet service,Yes,No internet service,No internet service,5073.8,0
CUST-0189,59,Female,Los Angeles,55,64.42,Month-to-month,Credit card (automatic),No,No,Yes,Yes,3535.72,0
CUST-0190,53,Female,Los Angeles,49,114.88,Month-to-month,Credit card (automatic),No,No internet service,No internet service,Yes,5625.19,0
CUST-0191,73,Female,New York,41,38.17,One year,Mailed check,No internet service,Yes,No internet service,No,1574.98,1
CUST-0192,71,Male,Phoenix,3,76.68,Month-to-month,Credit card (automatic),Yes,No internet service,Yes,No,217.88,0
CUST-0193,44,Male,New York,17,88.35,Two year,Credit card (automatic),No,No,No internet service,No internet service,1413.22,1
CUST-0194,62,Female,Phoenix,4,40.3,Month-to-month,Mailed check,Yes,No internet service,No internet service,Yes,223.92,0
CUST-0195,57,Male,Chicago,19,59.3,Month-to-month,Mailed check,Yes,No,Yes,Yes,1121.19,1
CUST-0196,37,Female,Phoenix,30,92.85,Month-to-month,Mailed check,No internet service,No internet service,Yes,No internet service,2825.2,0
CUST-0197,48,Female,Houston,31,76.84,One year,Credit card (automatic),No,Yes,No,No,2438.02,0
CUST-0198,77,Female,New York,8,45.82,One year,Bank transfer (automatic),No,No,Yes,Yes,422.29,0
CUST-0199,75,Female,Houston,71,89.43,Two year,Credit card (automatic),No,Yes,No,No,6340.47,0
CUST-0200,74,Female,Houston,58,88.25,Month-to-month,Mailed check,No internet service,Yes,Yes,Yes,5123.69,0
CUST-0201,72,Male,Chicago,68,32.11,Month-to-month,Mailed check,No internet service,No,No,No internet service,2234.09,1
CUST-0202,18,Female,New York,34,49.55,Two year,Credit card (automatic),Yes,Yes,No,No,1635.96,0
CUST-0203,43,Female,Los Angeles,10,111.5,Month-to-month,Bank transfer (automatic),No internet service,Yes,Yes,Yes,1082.46,0
CUST-0204,47,Female,Los Angeles,71,85.91,Two year,Electronic check,No internet service,Yes,No internet service,No,6091.33,0
CUST-0205,37,Male,Chicago,68,65.7,Month-to-month,Mailed check,Yes,Yes,No,Yes,4443.27,0
CUST-0206,27,Male,Los Angeles,59,43.95,One year,Bank transfer (automatic),No internet service,No,Yes,No,2523.13,0
CUST-0207,43,Male,Phoenix,30,88.93,One year,Credit card (automatic),No internet service,No internet service,Yes,Yes,2599.07,0
CUST-0208,74,Male,Houston,8,117.33,Month-to-month,Electronic check,No,No,No internet service,No,1001.82,0
CUST-0209,74,Female,Houston,27,91.76,One year,Credit card (automatic),No,No,No internet service,No,2474.36,0
CUST-0210,68,Male,Phoenix,17,65.46,Month-to-month,Electronic check,No internet service,No internet service,Yes,Yes,1164.62,0
CUST-0211,68,Male,New York,47,112.32,Month-to-month,Bank transfer (automatic),Yes,Yes,No,No internet service,5267.43,0
CUST-0212,78,Male,Phoenix,49,89.55,One year,Credit card (automatic),Yes,Yes,No,Yes,4397.9,0
CUST-0213,36,Male,Chicago,45,98.72,One year,Mailed check,No,No,No internet service,No internet service,4413.44,0
CUST-0214,39,Male,Los Angeles,53,112.42,One year,Mailed check,No,No,No,Yes,5961.2,0
CUST-0215,76,Female,New York,16,67.08,Month-to-month,Electronic check,No,No,Yes,No internet service,1077.3,1
CUST-0216,20,Male,Phoenix,1,77.79,Month-to-month,Mailed check,No,No internet service,No internet service,Yes,159.92,0
CUST-0217,34,Male,Los Angeles,1,94.55,Month-to-month,Bank transfer (automatic),No,No,No,No,118.42,0
CUST-0218,55,Female,New York,27,90.43,Month-to-month,Electronic check,Yes,Yes,Yes,No,2465.93,1
CUST-0219,49,Female,Chicago,50,43.13,Two year,Electronic check,No,Yes,Yes,No internet service,2174.5,0
CUST-0220,46,Female,Los Angeles,54,89.95,Month-to-month,Credit card (automatic),No internet service,No,No,No,4901.71,0
CUST-0221,50,Male,Chicago,62,48.65,Two year,Electronic check,Yes,Yes,No,No internet service,2971.24,0
CUST-0222,62,Female,Phoenix,67,88.04,Month-to-month,Bank transfer (automatic),No,Yes,No,Yes,5835.9,0
CUST-0223,58,Male,Chicago,17,61.0,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No,1030.16,0
CUST-0224,56,Female,New York,7,74.6,One year,Credit card (automatic),No internet service,No,No internet service,Yes,497.68,0
CUST-0225,65,Female,Phoenix,31,115.1,Month-to-month,Mailed check,Yes,Yes,No internet service,No,3651.36,0
CUST-0226,24,Male,New York,50,77.05,Month-to-month,Credit card (automatic),No,No internet service,No,Yes,3803.17,0
CUST-0227,20,Female,Phoenix,10,30.18,Two year,Electronic check,No internet service,No,Yes,Yes,367.14,0
CUST-0228,58,Male,Phoenix,45,116.63,Month-to-month,Electronic check,Yes,No,No,Yes,5304.37,1
CUST-0229,54,Male,Houston,57,76.29,Month-to-month,Bank transfer (automatic),No,Yes,No internet service,No,4277.4,0
CUST-0230,46,Female,Houston,62,40.56,Month-to-month,Credit card (automatic),No internet service,No,No internet service,No internet service,2547.54,0
CUST-0231,58,Male,Houston,26,55.59,Month-to-month,Bank transfer (automatic),Yes,No,No internet service,Yes,1431.94,0
CUST-0232,41,Female,New York,32,104.0,Month-to-month,Electronic check,Yes,Yes,Yes,Yes,3365.03,1
CUST-0233,35,Female,Houston,47,30.45,Two year,Mailed check,No,Yes,No,Yes,1513.5,0
CUST-0234,19,Female,Chicago,70,107.33,Two year,Credit card (automatic),No,Yes,No,No,7448.9,1
CUST-0235,62,Male,New York,30,65.56,Month-to-month,Bank transfer (automatic),No,No,Yes,Yes,1999.66,0
CUST-0236,20,Female,Los Angeles,70,24.25,Two year,Credit card (automatic),Yes,No internet service,No internet service,No,1711.41,0
CUST-0237,22,Male,Chicago,44,105.66,Two year,Mailed check,No internet service,Yes,Yes,No internet service,4620.19,0
CUST-0238,32,Male,Phoenix,69,49.99,One year,Credit card (automatic),No internet service,No,No internet service,No,3442.5,0
CUST-0239,47,Male,Chicago,21,51.12,Month-to-month,Electronic check,No internet service,No,Yes,Yes,1130.73,0
